# soft core potential 

soft_core_lj 
N 10006  R  0.0001  2.0
  272    0.053200000    4.000000000    0.000000000
  273    0.053400000    4.000000000    0.000000000
  274    0.053600000    4.000000000    0.000000000
  275    0.053800000    4.000000000    0.000000000
  276    0.054000000    4.000000000    0.000000000
  277    0.054200000    4.000000000    0.000000000
  278    0.054400000    4.000000000    0.000000000
  279    0.054600000    4.000000000    0.000000000
  280    0.054800000    4.000000000    0.000000000
  281    0.055000000    4.000000000    0.000000000
  282    0.055200000    4.000000000    0.000000000
  283    0.055400000    4.000000000    0.000000000
  284    0.055600000    4.000000000    0.000000000
  285    0.055800000    4.000000000    0.000000000
  286    0.056000000    4.000000000    0.000000000
  287    0.056200000    4.000000000    0.000000000
  288    0.056400000    4.000000000    0.000000000
  289    0.056600000    4.000000000    0.000000000
  290    0.056800000    4.000000000    0.000000000
  291    0.057000000    4.000000000    0.000000000
  292    0.057200000    4.000000000    0.000000000
  293    0.057400000    4.000000000    0.000000000
  294    0.057600000    4.000000000    0.000000000
  295    0.057800000    4.000000000    0.000000000
  296    0.058000000    4.000000000    0.000000000
  297    0.058200000    4.000000000    0.000000000
  298    0.058400000    4.000000000    0.000000000
  299    0.058600000    4.000000000    0.000000000
  300    0.058800000    4.000000000    0.000000000
  301    0.059000000    4.000000000    0.000000000
  302    0.059200000    4.000000000    0.000000000
  303    0.059400000    4.000000000    0.000000000
  304    0.059600000    4.000000000    0.000000000
  305    0.059800000    4.000000000    0.000000000
  306    0.060000000    4.000000000    0.000000000
  307    0.060200000    4.000000000    0.000000000
  308    0.060400000    4.000000000    0.000000000
  309    0.060600000    4.000000000    0.000000000
  310    0.060800000    4.000000000    0.000000000
  311    0.061000000    4.000000000    0.000000000
  312    0.061200000    4.000000000    0.000000000
  313    0.061400000    4.000000000    0.000000000
  314    0.061600000    4.000000000    0.000000000
  315    0.061800000    4.000000000    0.000000000
  316    0.062000000    4.000000000    0.000000000
  317    0.062200000    4.000000000    0.000000000
  318    0.062400000    4.000000000    0.000000000
  319    0.062600000    4.000000000    0.000000000
  320    0.062800000    4.000000000    0.000000000
  321    0.063000000    4.000000000    0.000000000
  322    0.063200000    4.000000000    0.000000000
  323    0.063400000    4.000000000    0.000000000
  324    0.063600000    4.000000000    0.000000000
  325    0.063800000    4.000000000    0.000000000
  326    0.064000000    4.000000000    0.000000000
  327    0.064200000    4.000000000    0.000000000
  328    0.064400000    4.000000000    0.000000000
  329    0.064600000    4.000000000    0.000000000
  330    0.064800000    4.000000000    0.000000000
  331    0.065000000    4.000000000    0.000000000
  332    0.065200000    4.000000000    0.000000000
  333    0.065400000    4.000000000    0.000000000
  334    0.065600000    4.000000000    0.000000000
  335    0.065800000    4.000000000    0.000000000
  336    0.066000000    4.000000000    0.000000000
  337    0.066200000    4.000000000    0.000000000
  338    0.066400000    4.000000000    0.000000000
  339    0.066600000    4.000000000    0.000000000
  340    0.066800000    4.000000000    0.000000000
  341    0.067000000    4.000000000    0.000000000
  342    0.067200000    4.000000000    0.000000000
  343    0.067400000    4.000000000    0.000000000
  344    0.067600000    4.000000000    0.000000000
  345    0.067800000    4.000000000    0.000000000
  346    0.068000000    4.000000000    0.000000000
  347    0.068200000    4.000000000    0.000000000
  348    0.068400000    4.000000000    0.000000000
  349    0.068600000    4.000000000    0.000000000
  350    0.068800000    4.000000000    0.000000000
  351    0.069000000    4.000000000    0.000000000
  352    0.069200000    4.000000000    0.000000000
  353    0.069400000    4.000000000    0.000000000
  354    0.069600000    4.000000000    0.000000000
  355    0.069800000    4.000000000    0.000000000
  356    0.070000000    4.000000000    0.000000000
  357    0.070200000    4.000000000    0.000000000
  358    0.070400000    4.000000000    0.000000000
  359    0.070600000    4.000000000    0.000000000
  360    0.070800000    4.000000000    0.000000000
  361    0.071000000    4.000000000    0.000000000
  362    0.071200000    4.000000000    0.000000000
  363    0.071400000    4.000000000    0.000000000
  364    0.071600000    4.000000000    0.000000000
  365    0.071800000    4.000000000    0.000000000
  366    0.072000000    4.000000000    0.000000000
  367    0.072200000    4.000000000    0.000000000
  368    0.072400000    4.000000000    0.000000000
  369    0.072600000    4.000000000    0.000000000
  370    0.072800000    4.000000000    0.000000000
  371    0.073000000    4.000000000    0.000000000
  372    0.073200000    4.000000000    0.000000000
  373    0.073400000    4.000000000    0.000000000
  374    0.073600000    4.000000000    0.000000000
  375    0.073800000    4.000000000    0.000000000
  376    0.074000000    4.000000000    0.000000000
  377    0.074200000    4.000000000    0.000000000
  378    0.074400000    4.000000000    0.000000000
  379    0.074600000    4.000000000    0.000000000
  380    0.074800000    4.000000000    0.000000000
  381    0.075000000    4.000000000    0.000000000
  382    0.075200000    4.000000000    0.000000000
  383    0.075400000    4.000000000    0.000000000
  384    0.075600000    4.000000000    0.000000000
  385    0.075800000    4.000000000    0.000000000
  386    0.076000000    4.000000000    0.000000000
  387    0.076200000    4.000000000    0.000000000
  388    0.076400000    4.000000000    0.000000000
  389    0.076600000    4.000000000    0.000000000
  390    0.076800000    4.000000000    0.000000000
  391    0.077000000    4.000000000    0.000000000
  392    0.077200000    4.000000000    0.000000000
  393    0.077400000    4.000000000    0.000000000
  394    0.077600000    4.000000000    0.000000000
  395    0.077800000    4.000000000    0.000000000
  396    0.078000000    4.000000000    0.000000000
  397    0.078200000    4.000000000    0.000000000
  398    0.078400000    4.000000000    0.000000000
  399    0.078600000    4.000000000    0.000000000
  400    0.078800000    4.000000000    0.000000000
  401    0.079000000    4.000000000    0.000000000
  402    0.079200000    4.000000000    0.000000000
  403    0.079400000    4.000000000    0.000000000
  404    0.079600000    4.000000000    0.000000000
  405    0.079800000    4.000000000    0.000000000
  406    0.080000000    4.000000000    0.000000000
  407    0.080200000    4.000000000    0.000000000
  408    0.080400000    4.000000000    0.000000000
  409    0.080600000    4.000000000    0.000000000
  410    0.080800000    4.000000000    0.000000000
  411    0.081000000    4.000000000    0.000000000
  412    0.081200000    4.000000000    0.000000000
  413    0.081400000    4.000000000    0.000000000
  414    0.081600000    4.000000000    0.000000000
  415    0.081800000    4.000000000    0.000000000
  416    0.082000000    4.000000000    0.000000000
  417    0.082200000    4.000000000    0.000000000
  418    0.082400000    4.000000000    0.000000000
  419    0.082600000    4.000000000    0.000000000
  420    0.082800000    4.000000000    0.000000000
  421    0.083000000    4.000000000    0.000000000
  422    0.083200000    4.000000000    0.000000000
  423    0.083400000    4.000000000    0.000000000
  424    0.083600000    4.000000000    0.000000000
  425    0.083800000    4.000000000    0.000000000
  426    0.084000000    4.000000000    0.000000000
  427    0.084200000    4.000000000    0.000000000
  428    0.084400000    4.000000000    0.000000000
  429    0.084600000    4.000000000    0.000000000
  430    0.084800000    4.000000000    0.000000000
  431    0.085000000    4.000000000    0.000000000
  432    0.085200000    4.000000000    0.000000000
  433    0.085400000    4.000000000    0.000000000
  434    0.085600000    4.000000000    0.000000000
  435    0.085800000    4.000000000    0.000000000
  436    0.086000000    4.000000000    0.000000000
  437    0.086200000    4.000000000    0.000000000
  438    0.086400000    4.000000000    0.000000000
  439    0.086600000    4.000000000    0.000000000
  440    0.086800000    4.000000000    0.000000000
  441    0.087000000    4.000000000    0.000000000
  442    0.087200000    4.000000000    0.000000000
  443    0.087400000    4.000000000    0.000000000
  444    0.087600000    4.000000000    0.000000000
  445    0.087800000    4.000000000    0.000000000
  446    0.088000000    4.000000000    0.000000000
  447    0.088200000    4.000000000    0.000000000
  448    0.088400000    4.000000000    0.000000000
  449    0.088600000    4.000000000    0.000000000
  450    0.088800000    4.000000000    0.000000000
  451    0.089000000    4.000000000    0.000000000
  452    0.089200000    4.000000000    0.000000000
  453    0.089400000    4.000000000    0.000000000
  454    0.089600000    4.000000000    0.000000000
  455    0.089800000    4.000000000    0.000000000
  456    0.090000000    4.000000000    0.000000000
  457    0.090200000    4.000000000    0.000000000
  458    0.090400000    4.000000000    0.000000000
  459    0.090600000    4.000000000    0.000000000
  460    0.090800000    4.000000000    0.000000000
  461    0.091000000    4.000000000    0.000000000
  462    0.091200000    4.000000000    0.000000000
  463    0.091400000    4.000000000    0.000000000
  464    0.091600000    4.000000000    0.000000000
  465    0.091800000    4.000000000    0.000000000
  466    0.092000000    4.000000000    0.000000000
  467    0.092200000    4.000000000    0.000000000
  468    0.092400000    4.000000000    0.000000000
  469    0.092600000    4.000000000    0.000000000
  470    0.092800000    4.000000000    0.000000000
  471    0.093000000    4.000000000    0.000000000
  472    0.093200000    4.000000000    0.000000000
  473    0.093400000    4.000000000    0.000000000
  474    0.093600000    4.000000000    0.000000000
  475    0.093800000    4.000000000    0.000000000
  476    0.094000000    4.000000000    0.000000000
  477    0.094200000    4.000000000    0.000000000
  478    0.094400000    4.000000000    0.000000000
  479    0.094600000    4.000000000    0.000000000
  480    0.094800000    4.000000000    0.000000000
  481    0.095000000    4.000000000    0.000000000
  482    0.095200000    4.000000000    0.000000000
  483    0.095400000    4.000000000    0.000000000
  484    0.095600000    4.000000000    0.000000000
  485    0.095800000    4.000000000    0.000000000
  486    0.096000000    4.000000000    0.000000000
  487    0.096200000    4.000000000    0.000000000
  488    0.096400000    4.000000000    0.000000000
  489    0.096600000    4.000000000    0.000000000
  490    0.096800000    4.000000000    0.000000000
  491    0.097000000    4.000000000    0.000000000
  492    0.097200000    4.000000000    0.000000000
  493    0.097400000    4.000000000    0.000000000
  494    0.097600000    4.000000000    0.000000000
  495    0.097800000    4.000000000    0.000000000
  496    0.098000000    4.000000000    0.000000000
  497    0.098200000    4.000000000    0.000000000
  498    0.098400000    4.000000000    0.000000000
  499    0.098600000    4.000000000    0.000000000
  500    0.098800000    4.000000000    0.000000000
  501    0.099000000    4.000000000    0.000000000
  502    0.099200000    4.000000000    0.000000000
  503    0.099400000    4.000000000    0.000000000
  504    0.099600000    4.000000000    0.000000000
  505    0.099800000    4.000000000    0.000000000
  506    0.100000000    4.000000000    0.000000000
